"37"	"26"	"238"	"308"	""	"0"	"181"	"100518010002"	"牛材-松城牌18mm阻燃板B1-C"	"70.0000"	"张"	"0"	"120.00000000"	""	"420.0000"	"0.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1006"
"38"	"26"	"238"	"309"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"102.00000000"	""	"252.0000"	"0.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"39"	"27"	"1"	"0"	""	"0"	"179"	"100515010002"	"松城牌阻燃板15mmB1-C/新沂沪千"	"84.0000"	""	"0"	"0.00000000"	""	"1680.0000"	"1680.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"40"	"28"	"2"	"0"	""	"0"	"179"	"100515010002"	"松城牌阻燃板15mmB1-C/新沂沪千"	"84.0000"	""	"0"	"0.00000000"	""	"840.0000"	"840.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"41"	"28"	"2"	"0"	""	"0"	"177"	"100512010002"	"松城牌阻燃板12mmB1-C/新沂沪千"	"105.0000"	""	"0"	"0.00000000"	""	"1050.0000"	"1050.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1011"
"42"	"29"	"1"	"0"	""	"0"	"181"	"100518010002"	"松城牌阻燃板18mmB1-C/新沂沪千"	"70.0000"	""	"0"	"0.00000000"	""	"560.0000"	"560.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1006"
"43"	"29"	"1"	"0"	""	"0"	"178"	"100515010001"	"松城牌阻燃板15mmB1-B/新沂沪千"	"84.0000"	""	"0"	"0.00000000"	""	"84.0000"	"84.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1009"
"44"	"29"	"1"	"0"	""	"0"	"177"	"100512010002"	"松城牌阻燃板12mmB1-C/新沂沪千"	"105.0000"	""	"0"	"0.00000000"	""	"1155.0000"	"1155.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1011"
"45"	"30"	"1"	"0"	""	"0"	"190"	"100509010002"	"松城牌阻燃板9mmB1-C/安徽沪千"	"110.0000"	""	"0"	"0.00000000"	""	"1210.0000"	"1210.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"991"
"46"	"30"	"1"	"0"	""	"0"	"188"	"100505010002"	"松城牌阻燃板5mmB1-C/安徽沪千"	"160.0000"	""	"0"	"0.00000000"	""	"960.0000"	"960.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"994"
"47"	"30"	"1"	"0"	""	"0"	"186"	"100503010002"	"松城牌阻燃板3mmB1-C/安徽沪千"	"238.0000"	""	"0"	"0.00000000"	""	"952.0000"	"952.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"995"
"48"	"31"	"237"	"305"	"安徽省阜阳沪千人造板制造有限公司"	"44"	"190"	"100509010002"	"牛材-松城牌9mm阻燃板B1-C"	"110.0000"	"张"	"0"	"67.00000000"	""	"50.0000"	"50.0000"	"3350.0000"	""	""	""	"0"	""	""	""	"0.00"	"584"
"49"	"31"	"237"	"306"	"江苏新沂沪千人造板制造有限公司"	"39"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"104.00000000"	""	"60.0000"	"60.0000"	"6240.0000"	""	""	""	"0"	""	""	""	"0.00"	"80"
"50"	"32"	"1"	"0"	""	"0"	"181"	"100518010002"	"松城牌阻燃板18mmB1-C/新沂沪千"	"70.0000"	""	"0"	"0.00000000"	""	"210.0000"	"210.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1006"
"51"	"32"	"1"	"0"	""	"0"	"180"	"100518010001"	"松城牌阻燃板18mmB1-B/新沂沪千"	"70.0000"	""	"0"	"0.00000000"	""	"70.0000"	"70.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1007"
"52"	"32"	"1"	"0"	""	"0"	"179"	"100515010002"	"松城牌阻燃板15mmB1-C/新沂沪千"	"84.0000"	""	"0"	"0.00000000"	""	"420.0000"	"420.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"53"	"32"	"1"	"0"	""	"0"	"177"	"100512010002"	"松城牌阻燃板12mmB1-C/新沂沪千"	"105.0000"	""	"0"	"0.00000000"	""	"525.0000"	"525.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1011"
"54"	"33"	"1"	"0"	""	"0"	"179"	"100515010002"	"松城牌阻燃板15mmB1-C/新沂沪千"	"84.0000"	""	"0"	"0.00000000"	""	"1680.0000"	"1680.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"55"	"34"	"248"	"327"	""	"0"	"186"	"100503010002"	"牛材-松城牌3mm阻燃板B1-C"	"238.0000"	"张"	"0"	"27.00000000"	""	"476.0000"	"476.0000"	"12852.0000"	""	""	""	"0"	""	""	""	"0.00"	"995"
"56"	"34"	"248"	"328"	""	"0"	"188"	"100505010002"	"牛材-松城牌5mm阻燃板B1-C"	"160.0000"	"张"	"0"	"44.00000000"	""	"640.0000"	"640.0000"	"28160.0000"	""	""	""	"0"	""	""	""	"0.00"	"994"
"57"	"34"	"248"	"329"	""	"0"	"190"	"100509010002"	"牛材-松城牌9mm阻燃板B1-C"	"110.0000"	"张"	"0"	"68.00000000"	""	"660.0000"	"660.0000"	"44880.0000"	""	""	""	"0"	""	""	""	"0.00"	"991"
"58"	"35"	"2"	"0"	""	"0"	"175"	"100112020001"	"牛材牌常规密度板12mmE2/安徽沪千"	"90.0000"	""	"0"	"0.00000000"	""	"540.0000"	"540.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1002"
"59"	"35"	"2"	"0"	""	"0"	"208"	" 100112010001"	"牛材牌常规密度板12mmE1/安徽沪千"	"90.0000"	""	"0"	"0.00000000"	""	"1080.0000"	"1080.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1034"
"60"	"37"	"2"	"0"	""	"0"	"184"	"100803010002"	"松城牌防霉板3.0mm1级/安徽沪千(JY3.0NCR238TD-FM-2)"	"238.0000"	""	"0"	"0.00000000"	""	"2380.0000"	"0.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1014"
"61"	"37"	"2"	"0"	""	"0"	"183"	"100803010001"	"松城牌防霉板3.0mm0级/安徽沪千(JY3.0NCR238TD-FM-1)"	"238.0000"	""	"0"	"0.00000000"	""	"238.0000"	"0.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1015"
"62"	"37"	"2"	"0"	""	"0"	"182"	"100802500001"	"松城牌防霉板2.5mm/安徽沪千(YM2.5SCRE0288TD-FM)"	"288.0000"	""	"0"	"0.00000000"	""	"288.0000"	"0.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1016"
"63"	"38"	"2"	"0"	""	"0"	"184"	"100803010002"	"松城牌防霉板3.0mm1级/安徽沪千(JY3.0NCR238TD-FM-2)"	"238.0000"	""	"0"	"0.00000000"	""	"1904.0000"	"1904.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1014"
"64"	"38"	"2"	"0"	""	"0"	"183"	"100803010001"	"松城牌防霉板3.0mm0级/安徽沪千(JY3.0NCR238TD-FM-1)"	"238.0000"	""	"0"	"0.00000000"	""	"2380.0000"	"2380.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1015"
"65"	"38"	"2"	"0"	""	"0"	"182"	"100802500001"	"松城牌防霉板2.5mm/安徽沪千(YM2.5SCRE0288TD-FM)"	"288.0000"	""	"0"	"0.00000000"	""	"1728.0000"	"1728.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1016"
"66"	"39"	"249"	"330"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"101.02381000"	""	"84.0000"	"84.0000"	"8486.0000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"67"	"39"	"249"	"330"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"101.02381000"	""	"84.0000"	"84.0000"	"8486.0000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"68"	"39"	"249"	"330"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"101.02381000"	""	"84.0000"	"84.0000"	"8486.0000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"69"	"39"	"249"	"330"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"101.02381000"	""	"84.0000"	"84.0000"	"8486.0000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"70"	"40"	"242"	"313"	"江苏新沂沪千人造板制造有限公司"	"20"	"35"	"100125010001 "	"牛材牌25mmE1级密度板2"	"50.0000"	"张"	"0"	"107.80000000"	""	"50.0000"	"50.0000"	"5390.0000"	""	""	""	"0"	""	""	""	"0.00"	"45"
"71"	"41"	"240"	"311"	"PANELES ARAUCO S.A."	"37"	"51"	"100709010001 "	"牛材牌9mmE1进口全松板"	"99.0000"	"张"	"0"	"53.60000000"	""	"99.0000"	"99.0000"	"5306.4000"	""	""	""	"0"	""	""	""	"0.00"	"76"
"72"	"42"	"217"	"282"	"江苏新沂沪千人造板制造有限公司"	"84"	"37"	"100318010001 "	"牛材牌18mmE1级镂铣板"	"70.0000"	"张"	"0"	"83.10000000"	""	"70.0000"	"70.0000"	"5817.0000"	""	""	""	"0"	""	""	""	"0.00"	"1072"
"73"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"74"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"75"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"76"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"77"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"78"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"79"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"80"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"81"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"82"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"83"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"84"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"85"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"86"	"43"	"251"	"337"	""	"0"	"179"	"100515010002"	"牛材-松城牌15mm阻燃板B1-C"	"84.0000"	"张"	"0"	"98.80000000"	""	"84.0000"	"84.0000"	"8299.2000"	""	""	""	"0"	""	""	""	"0.00"	"1008"
"87"	"44"	"2"	"0"	""	"0"	"169"	"100202730001"	"牛材牌超薄密度板2.7mmCARB/安徽沪千"	"280.0000"	""	"0"	"0.00000000"	""	"1960.0000"	"1960.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1019"
"88"	"44"	"2"	"0"	""	"0"	"209"	" 100203030001"	"牛材牌超薄密度板3.0mmCARB/安徽沪千"	"240.0000"	""	"0"	"0.00000000"	""	"1680.0000"	"1680.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1033"
"89"	"44"	"2"	"0"	""	"0"	"174"	"100104730001"	"牛材牌常规密度板4.75mmCARB/安徽沪千"	"160.0000"	""	"0"	"0.00000000"	""	"1280.0000"	"1280.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1020"
"90"	"45"	"1"	"0"	""	"0"	"181"	"100518010002"	"松城牌阻燃板18mmB1-C/新沂沪千"	"70.0000"	""	"0"	"0.00000000"	""	"700.0000"	"700.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1006"
"91"	"45"	"1"	"0"	""	"0"	"177"	"100512010002"	"松城牌阻燃板12mmB1-C/新沂沪千"	"105.0000"	""	"0"	"0.00000000"	""	"1050.0000"	"1050.0000"	"0.0000"	""	""	""	"0"	""	""	""	"0.00"	"1011"
